Albania	 female	15-24 	0.000000
Albania	 male	15-24 	0.000000
Albania	 female	25-34 	0.000000
Albania	 male	25-34 	0.000000
Albania	 female	35-54 	0.000000
Albania	 male	35-54 	0.000000
Albania	 female	5-14 	0.000000
Albania	 male	5-14 	0.000000
Albania	 female	55-74 	0.000000
Albania	 male	55-74 	0.000000
Albania	 female	75+ 	0.000000
Albania	 male	75+ 	0.000000
Antigua and Barbuda	 female	15-24 	0.000000
Antigua and Barbuda	 male	15-24 	0.000000
Antigua and Barbuda	 female	25-34 	0.000000
Antigua and Barbuda	 male	25-34 	0.000000
Antigua and Barbuda	 female	35-54 	0.000000
Antigua and Barbuda	 male	35-54 	0.000000
Antigua and Barbuda	 female	5-14 	0.000000
Antigua and Barbuda	 male	5-14 	0.000000
Antigua and Barbuda	 female	55-74 	0.042084
Antigua and Barbuda	 male	55-74 	0.000000
Antigua and Barbuda	 female	75+ 	0.000000
Antigua and Barbuda	 male	75+ 	0.000000
Argentina	 female	15-24 	0.036370
Argentina	 male	15-24 	0.140878
Argentina	 female	25-34 	0.024539
Argentina	 male	25-34 	0.107284
Argentina	 female	35-54 	0.023576
Argentina	 male	35-54 	0.087807
Argentina	 female	5-14 	0.005627
Argentina	 male	5-14 	0.006898
Argentina	 female	55-74 	0.023117
Argentina	 male	55-74 	0.098849
Argentina	 female	75+ 	0.014382
Argentina	 male	75+ 	0.205508
Armenia	 female	15-24 	0.006722
Armenia	 male	15-24 	0.007219
Armenia	 female	25-34 	0.001966
Armenia	 male	25-34 	0.023421
Armenia	 female	35-54 	0.006615
Armenia	 male	35-54 	0.026896
Armenia	 female	5-14 	0.001378
Armenia	 male	5-14 	0.001047
Armenia	 female	55-74 	0.015744
Armenia	 male	55-74 	0.041503
Armenia	 female	75+ 	0.040608
Armenia	 male	75+ 	0.112268
Aruba	 female	15-24 	0.036964
Aruba	 male	15-24 	0.071034
Aruba	 female	25-34 	0.000000
Aruba	 male	25-34 	0.139669
Aruba	 female	35-54 	0.013617
Aruba	 male	35-54 	0.068776
Aruba	 female	5-14 	0.039500
Aruba	 male	5-14 	0.000000
Aruba	 female	55-74 	0.037760
Aruba	 male	55-74 	0.049533
Aruba	 female	75+ 	0.000000
Aruba	 male	75+ 	0.000000
Australia	 female	15-24 	0.047060
Australia	 male	15-24 	0.120955
Australia	 female	25-34 	0.046206
Australia	 male	25-34 	0.158985
Australia	 female	35-54 	0.062822
Australia	 male	35-54 	0.195126
Australia	 female	5-14 	0.004900
Australia	 male	5-14 	0.004242
Australia	 female	55-74 	0.045717
Australia	 male	55-74 	0.139636
Australia	 female	75+ 	0.039601
Australia	 male	75+ 	0.183700
Austria	 female	15-24 	0.026734
Austria	 male	15-24 	0.088850
Austria	 female	25-34 	0.031009
Austria	 male	25-34 	0.103538
Austria	 female	35-54 	0.048831
Austria	 male	35-54 	0.175256
Austria	 female	5-14 	0.002192
Austria	 male	5-14 	0.002247
Austria	 female	55-74 	0.077008
Austria	 male	55-74 	0.227858
Austria	 female	75+ 	0.112058
Austria	 male	75+ 	0.554422
Bahamas	 female	15-24 	0.000000
Bahamas	 male	25-34 	0.014709
Bahamas	 female	5-14 	0.000000
Bahamas	 male	55-74 	0.016693
Bahrain	 female	15-24 	0.002448
Bahrain	 male	15-24 	0.010492
Bahrain	 male	25-34 	0.004684
Bahrain	 female	35-54 	0.002795
Bahrain	 female	5-14 	0.000000
Bahrain	 male	5-14 	0.000000
Bahrain	 male	55-74 	0.000000
Bahrain	 female	75+ 	0.000000
Belarus	 female	15-24 	0.015274
Belarus	 male	15-24 	0.100471
Belarus	 female	25-34 	0.025323
Belarus	 male	25-34 	0.173482
Belarus	 female	35-54 	0.031096
Belarus	 male	35-54 	0.197303
Belarus	 female	5-14 	0.003566
Belarus	 male	5-14 	0.003131
Belarus	 female	55-74 	0.029570
Belarus	 male	55-74 	0.196734
Belarus	 female	75+ 	0.054705
Belarus	 male	75+ 	0.320838
Belgium	 female	15-24 	0.026804
Belgium	 male	15-24 	0.094188
Belgium	 female	25-34 	0.043911
Belgium	 male	25-34 	0.158195
Belgium	 female	35-54 	0.102424
Belgium	 male	35-54 	0.243519
Belgium	 female	5-14 	0.001530
Belgium	 male	5-14 	0.003245
Belgium	 female	55-74 	0.099155
Belgium	 male	55-74 	0.214753
Belgium	 female	75+ 	0.094380
Belgium	 male	75+ 	0.333250
Belize	 female	15-24 	0.025952
Belize	 male	15-24 	0.050578
Belize	 female	25-34 	0.008063
Belize	 male	25-34 	0.173247
Belize	 female	35-54 	0.020031
Belize	 male	35-54 	0.100193
Belize	 female	5-14 	0.012319
Belize	 male	5-14 	0.020706
Belize	 female	55-74 	0.019753
Belize	 male	55-74 	0.144351
Belize	 female	75+ 	0.000000
Belize	 male	75+ 	0.119022
Brazil	 female	15-24 	0.015687
Brazil	 male	15-24 	0.054668
Brazil	 female	25-34 	0.017865
Brazil	 male	25-34 	0.078769
Brazil	 female	35-54 	0.022589
Brazil	 male	35-54 	0.083377
Brazil	 female	5-14 	0.002549
Brazil	 male	5-14 	0.003425
Brazil	 female	55-74 	0.021110
Brazil	 male	55-74 	0.088959
Brazil	 female	75+ 	0.016854
Brazil	 male	75+ 	0.124415
Brunei Darussalam	 female	15-24 	0.000000
Brunei Darussalam	 male	15-24 	0.006408
Brunei Darussalam	 female	25-34 	0.026532
Brunei Darussalam	 male	25-34 	0.035261
Brunei Darussalam	 female	35-54 	0.004117
Brunei Darussalam	 male	35-54 	0.012480
Brunei Darussalam	 female	5-14 	0.000000
Brunei Darussalam	 male	5-14 	0.000000
Brunei Darussalam	 female	55-74 	0.000000
Brunei Darussalam	 male	55-74 	0.000000
Brunei Darussalam	 female	75+ 	0.069239
Brunei Darussalam	 male	75+ 	0.000000
Chile	 female	15-24 	0.031796
Chile	 male	15-24 	0.114697
Chile	 female	25-34 	0.031643
Chile	 male	25-34 	0.150416
Chile	 female	35-54 	0.038455
Chile	 male	35-54 	0.153303
Chile	 female	5-14 	0.005883
Chile	 male	5-14 	0.006006
Chile	 female	55-74 	0.029397
Chile	 male	55-74 	0.157277
Chile	 female	75+ 	0.022591
Chile	 male	75+ 	0.253673
Colombia	 female	15-24 	0.026219
Colombia	 male	15-24 	0.078791
Colombia	 female	25-34 	0.016380
Colombia	 male	25-34 	0.068740
Colombia	 female	35-54 	0.010151
Colombia	 male	35-54 	0.058943
Colombia	 female	5-14 	0.006501
Colombia	 male	5-14 	0.006728
Colombia	 female	55-74 	0.009455
Colombia	 male	55-74 	0.072826
Colombia	 female	75+ 	0.007002
Colombia	 male	75+ 	0.114073
Croatia	 female	15-24 	0.023647
Croatia	 male	15-24 	0.104406
Croatia	 female	25-34 	0.022823
Croatia	 male	25-34 	0.114961
Croatia	 female	35-54 	0.060179
Croatia	 male	35-54 	0.204442
Croatia	 female	5-14 	0.003839
Croatia	 male	5-14 	0.002208
Croatia	 female	55-74 	0.085347
Croatia	 male	55-74 	0.288433
Croatia	 female	75+ 	0.133118
